term_id,prefLabel@es,altLabel@es,definition@es,prefLabel@en,altLabel@en,definition@en,prefLabel@de,altLabel@de,definition@de,prefLabel@nl,altLabel@nl,definition@nl,iate_id
LT8036939,término,término municipal,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,operación en firme,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,operación a fecha fija,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,operación a plazo,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,operación a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,término del contrato,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,fin del contrato,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,terminación del contrato,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Gemeindeareal,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Termingeschäft,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Vertragsablauf,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Vertragsende,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnmarkt,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijntransactie,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijncontract,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnzaken,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnverrichting,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
LT8036939,término,flete a término,,forward transaction,forward charter,"financial arrangement that involves the purchase of a product at a fixed price, with the terms of the sale identifying a specific date in the future that the product will be delivered to the buyer",Vertragsablauf,Terminmarkt,Auslaufen des Vertrags,termijntransactie,termijnaffaire,bilaterale maatwerkovereenkomst om op een bepaalde afwikkelingsdatum in de toekomst tegen een op de transactiedatum overeengekomen termijnprijs een activum of geldstromen te ruilen,1392928
